context,questions,answers
"If you are not eligible for 
a Graduate Account (for example you leave full-time study 
before graduating) we will convert your account to a Classic 
Account (or similar account if it is no longer available). We 
will write to you about this, giving you at least two months’ 
notice before changing your account","What would happen if you are not eligible for 
a Graduate Account (for example you leave full-time study 
before graduating)?","We will convert your account to a Classic 
Account (or similar account if it is no longer available). We 
will write to you about this, giving you at least two months’ 
notice before changing your account."
"If you choose to have a debit card, some transactions, like gambling, may be inappropriate for your age group, so we will block your card from making purchases in some shops or on some websites that are potentially unsuitable.","What would happen if you choose to have a 
debit card, some transactions, like gambling, may be 
inappropriate for your age group?",We will block your card from making purchases in some shops or on some websites that are potentially unsuitable.
"If you close your Club Lloyds account, remove the Club Lloyds benefits package from your account, change to one of our other account types (without Club Lloyds), or cease to be eligible for the account in any other way we reserve the right to cancel any benefits associated with the account.","What would happen if you close your Club Lloyds account, remove the Club 
Lloyds benefits package from your account, change to one 
of our other account types (without Club Lloyds), or cease to 
be eligible for the account in any other way ？","We reserve the 
right to cancel any benefits associated with the account."
". If you do not receive this in 14 days from the time you have opened or converted your account to Club Lloyds then please contact Hawk Incentives Limited on 0345 303 0303 or local number 01733 462 224 (8am to 10pm, seven days a week). You can also use this number to choose your Lifestyle Benefit if you have not done so already.","What would happen if you do not receive 
this in 14 days from the time you have opened or converted 
your account to Club Lloyds?","Please contact Hawk 
Incentives Limited on 0345 303 0303 or local number 
01733 462 224 (8am to 10pm, seven days a week). You can 
also use this number to choose your Lifestyle Benefit if you 
have not done so already. "
". If you don’t have enough funds in your account at this point to make a payment, we will try to make a payment again after 2.30pm the same day. This gives you the chance to put extra funds into your account so that we can make the payment. The money needs to be available to use straight away, so you could transfer money from another personal account you have with us via Internet, Mobile or Telephone Banking or pay in cash directly over the counter at one of our branches with a counter. You may also be able to pay in cash at any Post Office® that is open on that day. To do this, you will need to use a valid debit card for the account that you want to put the funds into","What would happen if you don’t have enough 
funds in your account at this point to make a payment?",We will try to make a payment again after 2.30pm the same day. This gives you the chance to put extra funds into your account so that we can make the payment.
"Around the third anniversary of 
your graduation, we will convert your account to a Classic 
Account (or similar if it is no longer available). We will write 
to you about this, giving you at least two months’ notice 
before changing your account.",What would happen if you graduate?,"Around the third anniversary of your graduation, we will convert your account to a Classic Account (or similar if it is no longer available). We will write to you about this, giving you at least two months’ notice before changing your account."
We will pay interest on a credit balance in your account for that billing period as long as you have a minimum of two different direct debit mandates paid from your account during the calendar month.,"What would happen if you have a minimum of two 
different direct debit mandates paid from your account 
during the calendar month?",We will pay interest on a credit balance in your account for that billing period.
"If you have chosen to have an Under 19s Account with a Cashpoint card, the maximum you can withdraw from a cash machine is £200 each day.","What would happen if you have chosen to have an Under 19s Account with a 
Cashpoint card?",The maximum you can withdraw from a cash machine is £200 each day.
"If you still hold your Under 19s Account in the year of your 19th birthday, we will change your account to a Classic Account, or similar account if we no longer offer a Classic Account.","What would happen if you still hold your Under 19s Account in the year of 
your 19th birthday?","We will change your account to a Classic Account, or similar account if we no longer offer a Classic Account."
"Any cash you withdraw from either a cash machine or Post Office will count towards the daily limit. For example if you withdraw £100 from a cash machine, you would only be able to withdraw up to £200 from a Post Office that day",What would happen if you withdraw £100 from a cash machine?,You would only be able to withdraw up to £200 from a Post Office that day.
"When someone is making a payment into your account and is checking with us if your name matches your other account details, we will give information about you and your account to them.","What would happen if your name matches your other account 
details when n someone is making a payment into your account and 
is checking with us?","We will give information about you and your account 
to them."
"We make payments from your account shortly after midnight at the start of the due date. If your payment date falls on a non-working day, then we will try to collect your payment the next working day.","What would happen if your payment date 
falls on a non-working day?", We will try to collect your payment the next working day.
"Different fees are taken from your account at different times. For example, regular fees like monthly maintaining the account fees or benefit package fees will come out of your account at the end of your monthly billing period. This is usually from the second working day of each month to the first working day of the next month, but if it is different we will have told you this separately. If you’d like to check what your monthly billing period is please just ask us in branch, or call us on 0345 300 0000.",When are fees taken?,"Different fees are taken from your account at different times. For example, regular fees like monthly maintaining the account fees or benefit package fees will come out of your account at the end of your monthly billing period. This is usually from the second working day of each month to the first working day of the next month, but if it is different we will have told you this separately. If you’d like to check what your monthly billing period is please just ask us in branch, or call us on 0345 300 0000."
"Each card will require its own PIN. We will not reveal any PIN to anyone else including additional cardholders. A PIN can be used with your credit card, or an additional card, to enter into transactions. (The types of transactions you can enter into, using your credit card, are described in Term 3 below). A PIN can be changed at any time before the card’s expiry date or, if earlier, the date that we activate any replacement card that we give or send you. You can ask in any of our stores how to set or change the PIN for your card.",When can a PIN be changed?,"At any time before the card’s expiry date or, if earlier, the date that we bank activate any replacement card that we give or send you."
Arranged overdraft interest charges will be taken from your account monthly. We work out the monthly charging period from the date you chose for your regular statement. The monthly charging period always closes two days before the date we issue your statement.,When does the monthly charging period end?,It always closes two days before the date we issue your statement.
"4.1.1 In addition to notifying us as set out in clause 2.2, you must notify us as soon as possible and at the latest within 13 months of when the payment left or should have left your account (as applicable), after you or a User becomes aware of any incorrectly executed Transaction or any unauthorised Transaction on your Account by telephoning 0345 072 5555 or by calling your relationship manager directly, otherwise you may not be entitled to a refund.",When should you notify us in addition to notifying us as set out in clause 2.2?,You must notify us as soon as possible and at the latest within 13 months of when the payment left or should have left your account (as applicable).
Interest is charged on any arranged overdraft you use (unless you are within any interest-free amount that applies to your account). It is calculated for each day that you are overdrawn and charged to your account monthly. You can find the rate of interest you have been charged for your arranged overdraft on your bank statement.,When will interest be charged?, On any arranged overdraft you use (unless you are within any interest-free amount that applies to your account)
"• Each month, for example, Pack fees are taken from your account on the first working day of the month. The Barclays Blue Rewards fee is taken from your account on the second working day of the month.",When will pack fees be taken from your account?,On the first working day of the month.
"6.4 This Agreement may be terminated at 6.4.1 immediately by you;any time;6.4.2 immediately by us in the event that we close your Account;6.4.3 immediately by us if you or a User has broken this Agreement repeatedly and/or seriously; or6.4.4 for any other reason, by us giving you not less than two months’ written notice.",When will the  Agreement may be terminated if you or a User has broken this Agreement repeatedly and/or seriously？, Immediately by us.
"c. for payments in any other EEA currencies: where the payee’s bank is within the EEA (including the UK), the fourth Business Day after the Business Day on which we received your instruction.",When will the amount to be transferred reaches the payee’s bank for payments in  any other EEA currencies when the payee’s bank is within the EEA (including the UK)?,The fourth Business Day after the Business Day on which we received your instruction.
"b. for payments in euro: where the payee’s bank is within the EEA (including the UK), the next Business Day after the Business Day on which we received your instruction;",When will the amount to be transferred reaches the payee’s bank for payments in euro when the payee’s bank is within the EEA (including the UK)?,The next Business Day after the Business Day on which we received your instruction;
"a. for payments in sterling: where the payee’s bank is within the UK, the next Business Day after the Business Day on which we received your instruction; or, where the payee’s bank is elsewhere in the EEA, the fourth Business Day after the Business Day on which we received your instruction;",When will the amount to be transferred reaches the payee’s bank for payments in sterling when the payee’s bank is within the UK？,The next Business Day after the Business Day on which we received your instruction.
"It will repay your eligible deposits (up to £85,000) within 20 working days until 31 December 2018; within 15 working days from 1 January 2019 until 31 December 2020; within ten working days from 1 January 2021 to 31 December 2023; and within seven working days from 1 January 2024 onwards, save where specific exceptions apply.",When will the Financial Services Compensation Scheme replay your eligible deposits?,"Within 20 working days until 31 December 2018; within 15 working days from 1 January 2019 until 31 December 2020; within ten working days from 1 January 2021 to 31 December 2023; and within seven working days from 1 January 2024 onwards, save where specific exceptions apply."
"Where the FSCS cannot make the repayable amount available within seven working days, it will, from 1 June 2016 until 31 December 2023, ensure that you have access to an appropriate amount of your covered deposits to cover the cost of living (in the case of a depositor which is an individual) or to cover necessary business expenses or operating costs (in the case of a depositor which is not an individual or a large company) within five working days of a request.",When will the FSCS ensure you have access to an appropriate amount of your covered deposits to cover the cost of living (in the case of a depositor which is an individual) or to cover necessary business expenses or operating costs (in the case of a depositor which is not an individual or a large company) within five working days of a request?,From 1 June 2016 until 31 December 2023.
"When you pay in a cheque, funds will be available subject to clearance by 23:59 the next weekday (Monday to Friday except bank holidays). ",When will the funds will be available subject to clearance when you pay in a cheque?,By 23:59 the next weekday (Monday to Friday except bank holidays). 
"3.8 Where a User calls us between 8am and 2pm on a Business Day to instruct us to carry out an International Payment as soon as possible, the instruction will be deemed to have been received by us on the same Business Day as the call (subject to any other cut-off times we may tell you for certain types of payment as set out or referred to in the “Need to know” brochure).",When will the instruction that a User calls us between 8am and 2pm on a Business Day to instruct us to carry out an International Payment as soon as possible be deemed to have been received by us？, On the same Business Day as the call (subject to any other cut-off times we may tell you for certain types of payment as set out or referred to in the “Need to know” brochure).
3.6 Where a User calls us between 8am and 5.30pm on a Business Day to instruct us to carry out a Transaction as soon as possible the instruction will be deemed to have been received by us on the same Business Day as the call (subject to clause 3.8 and any other cut-off times we may tell you for certain types of payment as set out or referred to in the “Need to know” brochure).,When will the instruction that a User calls us between 8am and 5.30pm on a Business Day to instruct us to carry out a Transaction as soon as possible be  deemed to have been received by us?,On the same Business Day as the call (subject to clause 3.8 and any other cut-off times we may tell you for certain types of payment as set out or referred to in the “Need to know” brochure).
"3.7 Subject to clause 3.10, where a User calls us outside the hours of the Business Day as set out in clause 3.6 to instruct us to carry out a Transaction as soon as possible, the instruction will be deemed to have been received by us on the next Business Day.",When will the instruction that a User calls us outside the hours of the Business Day as set out in clause 3.6 to instruct us to carry out a Transaction as soon as possible be deemed to have been received by us?,On the next Business Day.
"3.9 Subject to clause 3.10, where a User calls us outside the hours of the Business Day as set out in clause 3.8 to instruct us to carry out an International Payment as soon as possible, the instruction will be deemed to have been received by us on the next Business Day.",When will the instruction that a User calls us outside the hours of the Business Day as set out in clause 3.8 to instruct us to carry out an International Payment as soon as possible be deemed to have been received by us？,On the next Business Day.
"3.11 Where a User calls us to make a Transaction (or the first payment in a series of Transactions) on a future date, the instruction for that Transaction (or series of Transactions) will be deemed to have been received by us on the future date specified by the User.",When will the instruction that a User calls us to make a Transaction (or the first payment in a series of Transactions) on a future date be deemed to have been received by us?,on the future date specified by the User.
"1.4 Provided that we can identify the User by reference to their Password and date of birth, we will act on the User’s instructions without seeking further confirmation from you.",When will we act on the User’s instructions without seeking further confirmation from you?,When we can identify the User by reference to their Password and date of birth.
"5.3 We may change these terms and conditions at any time to reflect changes in law, regulation or codes of practice which apply to us or the way we are regulated. We will always endeavour to give you at least two months’ notice of such changes in accordance with clause 5.2 wherever possible. Where this is not possible we will give you as much prior notice as reasonably practicable.",When will we give you notice of such changes in accordance with clause 5.2 wherever possible?,We will always endeavour to give you at least two months’ notice of such changes in accordance with clause 5.2 wherever possible.
"5.2 Subject to clause 5.3, we will notify you in writing at least two months before we make any change to these terms and conditions. You will be deemed to have accepted any such change if you do not notify us to the contrary before the date any such change comes into effect. However if you do not accept any change:",When will we notify you before we make any change to these terms and conditions?,We will notify you in writing at least two months before we make any change to these terms and conditions.
We work out credit interest on a daily basis at the relevant interest rate from the 2nd working day of that month and pay it to your account at the end of the first working day of the next month.,"When will we work out credit 
interest on a daily basis at the relevant interest rate and pay it to your account ?",We work out credit interest on a daily basis at the relevant interest rate from the 2nd working day of that month and pay it to your account at the end of the first working day of the next month.
From 19 April 2020 you will be able to find more information on our website about the exchange rates that apply to your transaction to help you compare them with other card issuers’ rates,"When will you be able to find more information 
on our website about the exchange rates that apply to your 
transaction to help you compare them with other card 
issuers’ rates?",From 19 April 2020 you will be able to find more information on our website about the exchange rates that apply to your transaction to help you compare them with other card issuers’ rates
"If we receive your payment instruction on a public holiday or at the weekend, we’ll usually process your instruction on the next working day, unless we can process it as a Faster Payment.  In that case, we’ll process it on the same day.",When will your instruction be processed it we receive it on a public holiday or at the weekend?,"we’ll usually process your instruction on the next working day, unless we can process it as a Faster Payment.  In that case, we’ll process it on the same day."
We charge a fee of £4 each month for Barclays Blue Rewards.  Your monthly fee will be taken from your nominated account on the 2nd working day of each month. The first monthly fee will be taken in the month after you join Barclays Blue Rewards. It will show in your statement as ‘Blue Rewards fee’.,When will your monthly fee be taken from your nominated account?,On the 2nd working day of each month.
i    Our fees and charges are also summarised in a Fee Information Document (FID) available for each product. This is a standardised form that providers of personal current accounts will make available to allow you to compare products more easily. You can ask us for a FID in branch or find one at barclays.co.uk/rca,Where can you ask us for a FID in branch or find one?,At barclays.co.uk/rca.
Visa converts transactions into sterling using the Visa reference Exchange Rate on the day it processes the transaction. This date may be different to the day on which the transaction took place so the rate may differ. You can find a comparison of our exchange rate for certain currencies as a mark-up against the rate published by the European Central Bank in the Barclays App or at the following website: barclays.co.uk/travel/using-debit-card-abroad/  This is updated twice a day.*,Where can you find a comparison of our exchange rate for certain currencies as a mark-up against the rate published by the European Central Bank ?, In the Barclays App or at the following website: barclays.co.uk/travel/using-debit-card-abroad/  which is updated twice a day.
"8.2 We aim to provide the highest level of customer service possible. However, if you experience a problem, we will always seek to resolve this as quickly and efficiently as possible. If something has gone wrong please bring this to the attention of any member of staff. The complaint procedures are also published on our website: lloydsbank.com/business/contactus",Where can you find the complaint procedures?,On our website: lloydsbank.com/business/contactus.
"Alternatively, you can get free independent debt advice from organisations such as National Debt line (call 0808 808 4000*), the Consumer Credit Counselling Service (call 0800 138 1111*)  or your local Citizens Advice Bureau.",Where can you get free independent debt advice?,"From organisations such as National Debt line (call 0808 808 4000*), the Consumer Credit Counselling Service (call 0800 138 1111*)  or your local Citizens Advice Bureau."
"i    If you have a savings account or want to know about interest rates on certain current accounts, you’ll find interest rates in our leaflet ‘Rates for Savers’. You can get these from any of our branches.",Where can you know about interest rates on certain current accounts?,In our leaflet ‘Rates for Savers’.
" You can get this in Braille, large print or audio by calling 0800 400 100*. Barclays welcomes calls via Relay UK and SignVideo. Visit barclays.co.uk/accessibility for more information.","Where could you get this in Braille, large print or audio?", By calling 0800 400 100.
"ReimbursementThe responsible Deposit Guarantee Scheme is the Financial Services Compensation Scheme, 10th Floor Beaufort House,  15 St Botolph Street, London EC3A 7QU, Tel: 0800 678 1100* or 020 7741 4100,* email: ICT@fscs.org.uk. ",Where does the Financial Services Compensation Scheme?,"10th Floor Beaufort House,  15 St Botolph Street, London EC3A 7QU, Tel: 0800 678 1100* or 020 7741 4100,* email: ICT@fscs.org.uk"
"Lloyds Bank plc. Registered Office: 25 Gresham Street, London EC2V 7HN. Registered in England and Wales No. 2065. Telephone: 020 7626 1500. ",Where is the Registered Office?,"25 Gresham Street, London EC2V 7HN. Registered in England and Wales No. 2065. "
"There are no monthly maintaining the account fees for:
• Classic Account
• Under 19s Account
• Student Account
• Graduate Account
• Basic Account
• Islamic Account (no longer offered to new customers)",Which accounts don’t have mantaining account fees?,"
• Classic Account
• Under 19s Account
• Student Account
• Graduate Account
• Basic Account
• Islamic Account (no longer offered to new customers)."
"We may allow you to use your credit card in cash machines in or outside the UK which are operated by other banks if such machines display the MasterCard and/or LINK logos. We will advise you if you are able to use your card in these machines when you open your account. We may decide to stop, or impose limitations on, customers being able to use their cards in these cash machines in respect of particular types of account as a result of business or operational considerations. If we do this, we will endeavour to minimise the impact of this on the scope and convenience of the services we provide to you and, where possible, we will tell you what alternative arrangements we have been able to put in place. You are responsible for any charges made by other banks for using their cash machines. Unless it is our fault, we will not be responsible if you cannot use your card in a cash machine operated by another bank.",Which automatic cash machine is available for your bank services of the caredit card when you wish to use cash machines of other bank in or outside the UK? Who is responsibe for the charge if it's charged?,"Machines that display the MasterCard and/or LINK logos.
users are responsible any charges made by other banks for using their cash machines."
3.1 Only Full Service Users can make Transactions using the Service.,Who can make Transactions using the Service?, Only Full Service Users can make Transactions using the Service.
Our Basic Account is for customers who are legally resident in the UK and do not qualify for one of our other bank accounts.,Who is Basic Account for?,Our Basic Account is for customers who are legally resident in the UK and do not qualify for one of our other bank accounts.
? we use third parties to help us provide our services to you. We are responsible to you for their acts or omissions as if they were our own. Such third parties do not accept any responsibility to you. You must not take any action against them to recover compensation or other remedy for any loss you may suffer as a result of any act or omission for which we are responsible. This term operates for the benefit of any such third party and is enforceable by them accordingly. These terms may be changed or ended without requiring the consent of any such third party.,who is responsible for your loss you may suffer as result of any act or omission of third parties ?,we metro bank.
"Our agreement with youOur agreement with you is set out in this document and in the ‘Personal Credit Card Agreement’, ‘Personal Credit Card Important Information Summary’ and ‘Our Service Relationship with Personal Customers’. It is only intended to cover the services that we provide for your personal use. If you are a business, club, society, association or other organisation, we have a separate ‘Business Credit Card Agreement’.",who is the ‘Personal Credit Card Agreement’ provided for?,"individual rather than a business, club, society, association or other organisation"
The additional benefits for this account are provided by third-parties.,Who provide these additional  benefits for Platinum Account?,The additional benefits for this account are provided by third-parties.
"These benefits are provided by different third-party 
suppliers, through Hawk Incentives Limited, PO Box 1586, 
Westside, London Road, Hemel Hempstead, Hertfordshire, 
United Kingdom, HP1 9SF.",Who provide these benefits?,"These benefits are provided by different third-party suppliers, through Hawk Incentives Limited, PO Box 1586, Westside, London Road, Hemel Hempstead, Hertfordshire, United Kingdom, HP1 9SF."
"This account offers banking in accordance with Shariah law, with no credit interest or daily arranged overdraft interest, no arranged overdraft, no minimum balance required and no charges for everyday transactions if you stay in credit. Any money you keep with us will not be used for any interest-based or non-Shariah-approved activities.",Why cannot new customers get Islamic Account?,"This account offers banking in accordance with Shariah law, with no credit interest or daily arranged overdraft interest, no arranged overdraft, no minimum balance required and no charges for everyday transactions if you stay in credit. Any money you keep with us will not be used for any interest-based or non-Shariah-approved activities."
"The additional benefits for these accounts are provided by 
third-parties. The terms that apply to these benefits can be 
found in their welcome pack","Why cannot new customers get Select, Sliver, Gold and Premier Accounts?",The additional benefits for these accounts are provided by third-parties. The terms that apply to these benefits can be found in their welcome pack
"We won’t write to you two months before if we are closing your account because you have used it or tried to use it for illegal activity, or you have provided incorrect information or have acted in an abusive, threatening or violent way.","Why will we not write 
to you two months before if we are closing your account ?","Because you have used it or tried to use it for illegal activity, or you have provided incorrect information or have acted in an abusive, threatening or violent way."
Lloyds Bank plc is covered by the Financial Services Compensation Scheme and the Financial Ombudsman Service. (Please note that due to the schemes’ eligibility criteria not all Lloyds Bank Commercial Banking customers will be covered by these schemes.),Will all the Lloyds Bank Commercial Banking customers be covered by these schemes?,"No, due to the schemes’ eligibility criteria not all Lloyds Bank Commercial Banking customers will be covered by these schemes."
"If you use your debit card abroad or pay in a currency other than pound sterling (either abroad or in the UK): Barclays will charge you a 2.75% Non-Sterling Transaction Fee (increasing to 2.99% from the 12th April 2021) for using your debit card abroad when making purchases, cash withdrawals, or when you are being refunded. This fee will also apply whenever you do not pay in sterling, for example when you shop online at a non-UK website.On top of this, if you’re making a cash withdrawal at a cash machine, the provider may apply other charges.","Will Barclays charge you for using debit card abroad when making purchases, cash withdrawals, or when you are being refunded?","Yes, they will charge you a 2.75% Non-Sterling Transaction Fee (increasing to 2.99% from the 12th April 2021)."
If you use your debit card in the UK: Barclays will not charge you for using your debit card in the UK when making purchases or cash withdrawals in pound sterling or when buying travellers’ cheques or foreign currency. A small number of cash machine providers may charge a transaction fee but they should tell you about this on-screen before you commit to any transaction.,Will Barclays charge you for using your debit card in the UK when making purchases or cash withdrawals in pound sterling or when buying travellers’ cheques or foreign currency?,"No, they will not charge you for using your debit card in the UK when making purchases or cash withdrawals in pound sterling or when buying travellers’ cheques or foreign currency."
"The amount of your 
arranged overdraft that is interest-free will reduce at the end 
of each academic year. We will give you at least two months’ 
notice before this happens.","Will the amount of your 
arranged overdraft that is interest-free reduce ?",The amount of your arranged overdraft that is interest-free will reduce at the end of each academic year. We will give you at least two months’ notice before this happens.
"1.6 If you have set any signing restrictions or instructions in “Your Authority to operate your account(s)”, these restrictions will not apply to the Service. For example, if you have set a restriction of “Any two” signatories to sign any transfer or have set a financial cap on any signatory, these restrictions will not apply to Transactions a User may make using the Service and we will carry out the Transaction upon the sole instruction of the User via the Service and the financial cap will not be applied.",Will the restrictions  apply to Transactions a User may make using the Service if you have set a restriction of “Any two” signatories to sign any transfer or have set a financial cap on any signatory?,"No, they will not apply to Transactions a User may make using the Service  and we will carry out the Transaction upon the sole instruction of the User via the Service and the financial cap will not be applied."
"4.1.4 We will not be liable for:• any losses not directly associated with the incident that may cause you to claim against us whether or not such losses were reasonably foreseeable; nor• any loss of profits, loss of business, loss of goodwill or any form of special damages; nor• any losses associated directly or indirectly with our failing to make a payment because you have not provided us with the required or correct Remittance Details. We will, however, use all reasonable efforts to recover your payment and reserve the right to charge you a fee to cover our reasonable costs for so doing. Where we are unable to get the money back, you can send us a written request and we will then provide all the relevant information we can in order for you to claim repayment of the funds. We will  only provide you with information that we are allowed to provide to you by law.","Will we be liable for any loss of profits, loss of business, loss of goodwill or any form of special damages?","No, we will not be liable for any loss of profits, loss of business, loss of goodwill or any form of special damages."
"Unless you pay a monthly maintaining the account fee for an account with added benefits, we don’t normally charge you for everyday banking – providing your account is in credit. There are some events, however, like using your cards to withdraw cash or make a payment in a currency other than pounds, where there may be charges.",Will we charge you when you use your card to withdraw cash or make a payment in another currency?,"Yes,there may be charges."
"If a payment is returned unpaid due to lack of funds, you will not be charged any Unpaid Transaction Fee. ",Will you be charged any Unpaid Transaction Fee if a payment is returned unpaid due to lack of funds?,"No, you will not be charged any Unpaid Transaction Fee if a payment is returned unpaid due to lack of funds."
"We won’t charge you for refusing or trying to refuse your requested payments. But we will continue to charge daily arranged overdraft interest for your use of an arranged overdraft if any charges or payments take, or have taken, your account above your arranged overdraft limit. We will not charge interest on any balance above your arranged overdraft limit.","Will you be charged for refusing or trying to refuse your 
requested payments?","No,we won’t charge you for refusing or trying to refuse your 
requested payments. But we will continue to charge daily 
arranged overdraft interest for your use of an arranged 
overdraft if any charges or payments take, or have taken, 
your account above your arranged overdraft limit. We will 
not charge interest on any balance above your arranged 
overdraft limit."
"If you want to use a service we haven’t covered here, we’ll always let you know before you are charged.",Will you be charged If you want to use a service we haven’t covered here?,"No,if you want to use a service we haven’t covered here, we’ll 
always let you know before you are charged."
"You will not earn interest on balances over £2,499.99.","Will you earn interest on balances 
over £2,499.99?","No,you will not earn interest on balances 
over £2,499.99."
4.3.2 You will not have to pay anything in respect of any unauthorised use of a Password unless we can show that you or a User have acted fraudulently or without all reasonable care in keeping the Password safe and in accordance with our security requirements and provided that you notify us as soon as you or the User becomes aware that a Password may have become known to someone other than the User.,Will you have to pay anything in respect of any unauthorised use of a Password?,"No, unless we can show that you or a User have acted fraudulently or without all reasonable care in keeping the Password safe and in accordance with our security requirements and provided that you notify us as soon as you or the User becomes aware that a Password may have become known to someone other than the User."
"If you open, change or close an account or service that has a regular fee attached to it, such as a monthly maintaining the account fee, part way through your billing period, you’ll only pay for the time you’ve actually had it. If you open a Club Lloyds account part way through a monthly billing period, you will not be charged a Club Lloyds maintaining the account fee for that monthly billing period","Will you need to pay if you open, change or close an account or service that has a regular fee attached to it, such as a monthly maintaining the account fee, part way through your billing period?","Yes,you’ll only pay for the time you’ve actually had it. If you open a 
Club Lloyds account part way through a monthly billing period, you will not be charged a Club Lloyds maintaining the 
account fee for that monthly billing period."
"If you choose option b), you will pay our charge and the Correspondent Bank Fee that replaces all agent bank charges. The recipient bank may charge its customers a fee but we cannot provide information about such a fee.","Will you pay our charge and the 
Correspondent Bank Fee that replaces all agent bank 
charges if you choose option b)?","Yes,you will  pay our charge and the 
Correspondent Bank Fee that replaces all agent bank 
charges. The recipient bank may charge its customers a 
fee but we cannot provide information about such a fee."
How much does it cost to borrow?Standard rates and chargesThe standard rates and charges that apply are set out on the reverse of the cover letter enclosing your card. ,What is the standard rates and charges when you cost to borrow？,The standard rates and charges that apply are set out on the reverse of the cover letter  enclosing your card.
"We charge interest from the date each transaction or charge is added to your account until the amount you owe us has been repaid in full. We work out interest on a daily basis and add it to the account on your monthly statement date. If you pay at least the minimum payment each month you will pay off all the interest added to the account that month but, if you don’t, we will charge interest on that interest as well as on transactions added to your account.",What would we do before the amount you own us has been rapid in full？,"We charge interest from the date each transaction or charge is added to your account until the amount you owe us has been repaid in full. We work out interest on a daily basis and add it to the account on your monthly statement date. If you pay at least the minimum payment each month you will pay off all the interest added to the account that month but, if you don’t, we will charge interest on that interest as well as on transactions added to your account."
There are two exceptions to this. We do not charge any interest on default charges. We also do not charge interest on any purchases shown in a statement if you repay the full amount you owe us on that statement date by the next payment due date. ,What are the exceptions we do not charge Interest?,"There are two exceptions to this. We do not charge any interest on default charges. We also do not charge interest on any purchases shown in a statement if you repay the full amount you owe us on that statement date by the next payment due date. This means that if, for example, you repay in full the amount shown in your July statement by the payment due date in August, we will not charge interest on any purchases added to your account and shown in your July statement. However, even if you don’t use your account at all after the July statement date, there may still be ‘trailing’ interest shown in your August statement."
 ? on any cash advances or payments sent from your account (such as balance transfers) in your July statement (because we always charge interest on these); and ?  on any amounts carried over from your June statement.,What are the trailing interests shown on your august statement when you don't use your account at all after the july statement date？,On any cash advances or payments sent from your account （such as balance transfers）in your july statement （because we always charge interest on these and on any amounts carried over from your June statement.
Credit Card Agreement regulated by the Consumer Credit Act 1974.,Which act does credit card agreement was regulated？,Consumer Credit Act 1974
This agreement is made up of the key terms and the additional terms.,What is this agreement be made up of？,key terms and the additional terms
"Key TermsHow much can you borrow?You can borrow up to the credit limit. We will confirm your credit limit after we have signed the agreement. If we change it later, we will tell you before we make the change. ",How much can you borrow according to the key terms？,You can borrow up to the credit limit we will confirm your credit limit after we have signed the agreement .if we change it later we will tell you before we make the change
How much do you have to pay each month and when?We will give you a statement each month showing the minimum payment for that month (we may not give you a statement if you do not need to make any payment). ,How much do you have to pay each month and when according to the key terms?,We will give you a statement each month showing the minimum payment for that month (we may not give you a statement if you do not need to make any payment)
The minimum payment will be the higher of:,What is the minimum payment？,"A.  The sum of (a) interest for the period from the last statement, (b) any default charges and (c) 1% of the full amount you owe as shown on your monthly statement (not including interest and default charges). "
"If you owe less than ￡5 you must pay the full amount you owe (eg, if you owe ￡2.50 that will be the minimum payment). ",Shall you must pay the full amount you owe if you own less than ￡5,yes
"If you have an instalment plan, the minimum payment will be increased by the monthly instalment. The total amount you must pay will be shown in the statement.",What is the minimum payment if you have an instalment plan?,The minimum payment will be increased by the monthly instalment.The total amount you must pay will be shown in the statement.
The minimum payment must reach us by the due date shown in your statement. This will be 25 days from your statement date. You can always pay more than the minimum payment to reduce the amount of interest you have to pay. Information about how to make sure payments reach us on time is on the back of the statement.,How long it takes the minimum payment must reach us by the due date from your statement date,25days
You must also pay immediately the amount of any missed payments and the amount you owe above the credit limit. If you pay by Direct Debit we will collect these amounts with your minimum payment if you have not paid them already.,What would we do if you pay by direct debit when you have not paid minimum payments already？,We will collect this amount with your minimum payment.
"You can ask us to collect payments for you (eg, by Direct Debit). You can choose how much you want to pay each ",Can you ask us to collect payments for you?,yes
You will lose any introductory or promotional rate if you are late in making the minimum payment in any month.,What will happy you are late in making the minimum payment in any month？,You will lose any introductory or promotional rate.
 ?  the amount you owed on the instalment plan will become part of the overall amount you owe on the account for working out minimum payments and charging interest.,What is the impact of the amount you owned on the instalment plan？,The amount you only on the instalment plan will become part of the overall amount you owe on the account for working out minimum payments and charging interest.
"Can we change the cost of borrowing or any  other terms?Changes to terms that are personal to youIf we change our view of your ability to repay us because of information we get from credit reference agencies or the way you manage the account (for example because you often pay us or other lenders late), we may change the rates that apply to you (unless we are aware that you’re at risk of financial difficulties) and we may reduce your credit limit. ",Can we change the cost of borrowing or any other terms？,Yes，And changes to terms that are personal to you.
Other changes to the credit limitFrom time to time we may tell you that a higher credit limit is available to you and you can ask us to consider giving you a hight credit limit. You can also contact us to tell us:,What are the other changes to the credit limit?,From time to time we May tell you that a higher credit limit is available to you and you can ask us to consider giving you a high credit limit .You can also contact us to tell us you'd like a lower credit limit you don't want to receive any future credit limiting crisis or never to increase your credit limit without checking with you first and you can change your mind at anytime.
